Index,Country,Client,ISP,Subnets,Aggregate
1849,230,894,123,192,1439
1056,687,642,95,12,1436
948,687,642,95,9,1433
1690,687,642,2,100,1431
1508,687,642,52,49,1430
1006,687,642,95,5,1429
1558,687,642,18,81,1428
396,230,189,145,850,1414
1417,687,642,33,52,1414
1483,687,642,33,49,1411
1541,687,642,1,81,1411
1319,687,642,33,42,1404
1281,687,642,33,38,1400
1179,687,642,48,22,1399
1180,687,642,48,22,1399
1324,687,642,28,42,1399
160,29,146,373,850,1398
239,29,146,373,850,1398
256,29,146,373,850,1398
355,29,146,373,850,1398
427,29,146,373,850,1398
439,29,146,373,850,1398
569,29,146,373,850,1398
1127,687,642,52,17,1398
30,230,189,123,850,1392
379,230,189,123,850,1392
395,230,189,123,850,1392
404,230,189,123,850,1392
652,230,189,123,850,1392
772,230,189,123,850,1392
773,230,189,123,850,1392
1077,687,642,48,13,1390
1283,687,642,18,38,1385
976,687,642,52,3,1384
974,687,642,48,2,1379
1516,28,894,373,81,1376
76,230,146,145,850,1371
282,230,146,145,850,1371
407,230,146,145,850,1371
515,230,146,145,850,1371
530,230,146,145,850,1371
1303,687,642,1,38,1368
1188,687,642,8,26,1363
1205,687,642,8,26,1363
1162,687,642,9,22,1360
346,230,146,123,850,1349
452,230,146,123,850,1349
582,230,146,123,850,1349
614,230,146,123,850,1349
615,230,146,123,850,1349
724,230,146,123,850,1349
747,230,146,123,850,1349
749,230,146,123,850,1349
1643,230,894,123,100,1347
946,687,642,8,9,1346
1313,37,894,373,42,1346
1090,687,642,2,13,1344
1001,687,642,10,4,1343
1705,230,894,26,192,1342
1745,230,894,26,192,1342
1752,230,894,26,192,1342
1755,230,894,26,192,1342
1760,230,894,26,192,1342
1762,230,894,26,192,1342
1765,230,894,26,192,1342
1770,230,894,26,192,1342
1772,230,894,26,192,1342
1791,230,894,26,192,1342
1804,230,894,26,192,1342
1811,230,894,26,192,1342
1812,230,894,26,192,1342
1824,230,894,26,192,1342
1827,230,894,26,192,1342
1855,230,894,26,192,1342
1863,230,894,26,192,1342
1864,230,894,26,192,1342
1871,230,894,26,192,1342
1873,230,894,26,192,1342
1874,230,894,26,192,1342
1877,230,894,26,192,1342
1758,230,894,25,192,1341
1026,687,642,3,7,1339
1832,230,894,21,192,1337
1880,230,894,21,192,1337
